Toronto,CYTZ
Winnipeg,CYWG
Regina,CYQR
Saskatoon,CYXE
Victoria,CYYJ
Vancouver,CYVR
Seattle,KSEA
Jasper,CWJW
Edmonton,CYEG
YellowKnife,CYZF
Whitehorse,CYXY
Iqaluit,CYFB
Juneau,KUNU
Ottawa,CYOW
Montreal,CYUL
NewYork,KLGA
Boston,KBOS
Fredericton,CYFC
Halifax,CYHZ
Detroit,KDET
Windsor,CYQG
London,CYXU
NiagaraFalls,KIAG
Delhi,VIDP
Jaipur,VIJP
Chennai,VOMM
Denver,KDEN
Washinton DC,KAFG
Calgary,CYYC
London-UK,EGLL
Berlin,EDDB
Miami,KMIA
Houston,KHOU
Caracas,SVCS
Singapore,WSSS
Colombo,SB
Oslo,ENFB
Paris,LFPG
Munich,EDDM
Amsterdam,EHAM
Rome,LIRA
Barcelona,SVBC
Brussels,EBBR
Bern-SW,LSZB
Zurich,LSZH
